sextupole,sextupole_s_m,quadrupole,quadrupole_index,quadrupole_k1_m2,delta_k1_m2,optics_leverage,delta_log_beta_x,delta_log_beta_y,delta_phi_x_rad,delta_phi_y_rad,max_abs_tune_shift,max_detector_beta_beating,allowed,selected,selected_rank
SEX_20E,626.8242166369727,Q00W,2,-0.84178483645302,0.0008417848364530201,0.04726101424472239,0.014970700479963073,0.04046971206711403,0.0032434746507021828,0.019004311931091422,0.007391830282280409,0.10763171022270224,1,1,3
SEX_20W,141.87332677919488,Q00W,2,-0.84178483645302,0.0008417848364530201,0.08790428215659209,-0.0023600570534769716,0.06685467225754049,-0.0002519312807596208,-0.057026154351636826,0.007391830282280409,0.10763171022270224,1,1,3
SEX_21E,618.6199746369726,Q00W,2,-0.84178483645302,0.0008417848364530201,0.08300542624209895,0.017984182553031358,-0.08004580590332822,0.012522982524480142,0.0015211277099709264,0.007391830282280409,0.10763171022270224,1,1,4
SEX_21W,150.0752687791949,Q00W,2,-0.84178483645302,0.0008417848364530201,0.0841990530277576,-0.018501103947671238,-0.05233316958715872,0.006864225012195746,-0.06293895025683405,0.007391830282280409,0.10763171022270224,1,1,4
SEX_22E,610.4185326369727,Q00W,2,-0.84178483645302,0.0008417848364530201,0.08583355466347489,-0.00013443328713647063,-0.05695374142443943,0.01878738008900882,-0.06140591763835346,0.007391830282280409,0.10763171022270224,1,1,3
SEX_22W,158.2819607791949,Q00W,2,-0.84178483645302,0.0008417848364530201,0.08054774312707288,-0.010403410914994637,-0.0779188064260965,0.017220858835868214,0.003436508444088382,0.007391830282280409,0.10763171022270224,1,1,3
SEX_23E,602.2144906369726,Q00W,2,-0.84178483645302,0.0008417848364530201,0.08749983487008287,-0.018636233876969333,0.06042829981184039,0.007310825147136768,-0.060032360495760884,0.007391830282280409,0.10763171022270224,1,1,4
SEX_23W,166.4857027791949,Q00W,2,-0.84178483645302,0.0008417848364530201,0.041669195200784805,0.018084360627060647,0.02803006284231291,0.01234345120980862,0.021707890700816357,0.007391830282280409,0.10763171022270224,1,1,3
SEX_24E,592.0085476369725,Q00W,2,-0.84178483645302,0.0008417848364530201,0.046226656034844445,0.0012466496385696857,0.04233850933305272,-0.00023093476560376303,0.018513424573306736,0.007391830282280409,0.10763171022270224,1,1,2
SEX_24W,176.6882957791949,Q00W,2,-0.84178483645302,0.0008417848364530201,0.08298065528494274,0.010641259168916672,0.05302099366329194,0.0012399899555521898,-0.06292685762602268,0.007391830282280409,0.10763171022270224,1,1,2
SEX_25E,583.8050056369724,Q00W,2,-0.84178483645302,0.0008417848364530201,0.05920431245905682,0.016242449271552495,-0.05480902785547026,0.004376945286885814,0.014769775587481604,0.007391830282280409,0.10763171022270224,1,1,3
SEX_25W,184.8940877791949,Q00W,2,-0.84178483645302,0.0008417848364530201,0.08044995001471851,-0.008699583626261775,-0.04681316312543493,0.0006629471219685712,-0.06484288674484873,0.007391830282280409,0.10763171022270224,1,1,3
SEX_26E,575.6012636369724,Q00W,2,-0.84178483645302,0.0008417848364530201,0.07596791410876505,0.016782956849239472,-0.019776886526940374,0.013584965560411888,-0.07009835806533715,0.007391830282280409,0.10763171022270224,1,1,4
SEX_26W,193.10052977919491,Q00W,2,-0.84178483645302,0.0008417848364530201,0.03942410415853455,-0.018992934166692566,-0.02485708990835711,0.009426786445295932,0.022063300275464215,0.007391830282280409,0.10763171022270224,1,1,3
SEX_27E,567.1709216369723,Q00W,2,-0.84178483645302,0.0008417848364530201,0.0911522794533246,-0.008773059947877138,0.0887275773623386,0.017546400019057273,-0.007163262557618566,0.007391830282280409,0.10763171022270224,1,1,2
SEX_27W,201.5302217791949,Q00W,2,-0.84178483645302,0.0008417848364530201,0.10046909947336073,0.002363417558619463,0.09367051322468978,0.018538325875772088,-0.03115476901500891,0.007391830282280409,0.10763171022270224,1,1,3
SEX_28E,558.9658796369721,Q00W,2,-0.84178483645302,0.0008417848364530201,0.03136270407408702,-0.01858080302700782,-0.006474695478413728,0.0071101250131633265,0.0233644474890653,0.007391830282280409,0.10763171022270224,1,1,3
SEX_28W,209.73341377919488,Q00W,2,-0.84178483645302,0.0008417848364530201,0.07448101000454116,0.01776674236465503,0.008140315068011938,0.01251213021499531,-0.07077390469036615,0.007391830282280409,0.10763171022270224,1,1,4
