scenario,rho,trials,converged_trials,mean_x_rmse_m,max_trial_x_rmse_m,mean_x_max_abs_m,global_x_max_abs_m,mean_y_rmse_m,max_trial_y_rmse_m,mean_y_max_abs_m,global_y_max_abs_m,mean_newton_iterations,max_closure_norm,source_chunk
horizontal,0.56999999999999995,600,600,1.8594710358090697e-07,7.8410314044855265e-07,5.5382591329299195e-07,2.5304444217611561e-06,8.793351691987389e-20,2.7860737200846449e-19,2.4043131919013656e-19,7.3789551478492644e-19,3.6850000000000001,9.9667397278925226e-14,chunk_2
horizontal,0.80000000000000004,600,600,3.6628110322220358e-07,1.5445562528036385e-06,1.0909570659375054e-06,4.9751797697859161e-06,1.290491393160781e-19,4.7688257853241488e-19,3.5496176808320811e-19,1.3850823339744156e-18,3.7016666666666667,9.9895101448960672e-14,chunk_2
horizontal,1.1299999999999999,600,600,7.3077572472201648e-07,3.0816181546519531e-06,2.1766578783109023e-06,9.8995358506986193e-06,1.7711249100495707e-19,5.8236076932678035e-19,4.8828717326469059e-19,1.6931266640233321e-18,4.1183333333333332,9.9912600700849927e-14,chunk_2
horizontal,1.6000000000000001,600,600,1.4650652566576691e-06,6.178096924159839e-06,4.3639885273074667e-06,1.9771371498671043e-05,2.5250175256176182e-19,7.3267582060507561e-19,6.9339090600956976e-19,2.0420795378683241e-18,4.4333333333333336,9.9985728224958856e-14,chunk_3
horizontal,2.2599999999999998,600,600,2.9229400677178077e-06,1.2325716549183112e-05,8.7071250624301145e-06,3.9236811768322485e-05,3.5335925093163004e-19,1.1248670553821647e-18,9.7544387502336267e-19,3.66110627457327e-18,4.7216666666666667,9.9918247913851269e-14,chunk_3
horizontal,3.2000000000000002,600,600,5.8598141522424859e-06,2.4708591349208297e-05,1.745756914897343e-05,7.8072389516447736e-05,4.921676317945281e-19,2.0622092749025047e-18,1.3581404865233462e-18,6.12385824128397e-18,5.253333333333333,9.9885444697328646e-14,chunk_3
horizontal,4.5300000000000002,600,600,1.1742340422702772e-05,4.9503567463173575e-05,3.4987673848035871e-05,0.0001548112535189358,7.0442720655770157e-19,2.6661869183305662e-18,1.9343163891053411e-18,7.0607354929525402e-18,5.7566666666666668,9.9897645680280547e-14,chunk_3
horizontal,6.4000000000000004,600,600,2.3436080563164586e-05,9.8755781884552599e-05,6.984700286540809e-05,0.00030451064234162132,1.0221833347229852e-18,4.2461408455754543e-18,2.8171700420494767e-18,1.2763605036894976e-17,6.3016666666666667,9.9973655597524492e-14,chunk_4
horizontal,9.0500000000000007,600,600,4.6857640609625475e-05,0.00019723412759585916,0.00013969942931502159,0.00059661575002610372,1.4933946223851181e-18,5.5700743797772701e-18,4.1409060300281416e-18,1.6118122665370141e-17,7.0166666666666666,9.9834246367877617e-14,chunk_4
horizontal,12.800000000000001,600,600,9.3724694455655754e-05,0.00039354655917959313,0.00027957286760270464,0.0011615704776071828,2.0855624003656949e-18,7.4029709785001308e-18,5.8374692566760073e-18,2.0684908000869349e-17,7.706666666666667,9.9760854834593753e-14,chunk_4
