lord_id,lord_name,lord_key,variable,step,observation_index,dx,dpx,dy,dpy,dz,dpz
0>>1327,RAW_XQUNEING_2,Group,COMMAND,0.001,527,-3.4028700630949274e-06,-1.5373344510111794e-06,-7.907119491720044e-06,9.258830020763328e-07,1.2638294708184651e-06,0.0
0>>1327,RAW_XQUNEING_2,Group,COMMAND,0.001,537,-1.1570125153965993e-05,7.329139229382293e-07,-2.4319550637631054e-06,1.3485884068129396e-07,1.2627276459086715e-06,0.0
0>>1327,RAW_XQUNEING_2,Group,COMMAND,0.001,551,-5.455773597002125e-06,1.1390905804589766e-06,6.48353000627655e-07,2.2689467362238536e-07,2.4767197140829894e-06,0.0
0>>1327,RAW_XQUNEING_2,Group,COMMAND,0.001,627,6.368142072259858e-06,-1.9716798858740794e-08,-1.1390323525952567e-06,-2.566017729787977e-08,1.8227201770857563e-06,0.0
0>>1327,RAW_XQUNEING_2,Group,COMMAND,0.001,641,-1.756047108642184e-05,-1.861272840524399e-06,-2.5002068872268662e-06,4.218607054125561e-08,2.858308807603951e-06,0.0
0>>1327,RAW_XQUNEING_2,Group,COMMAND,0.001,651,-6.384457271830981e-06,1.977360511887607e-06,-5.499704224800825e-06,-5.086258580516657e-07,2.856469867972412e-06,0.0
0>>1327,RAW_XQUNEING_2,Group,COMMAND,0.001,667,4.5803726025786876e-06,4.239791138614321e-07,-4.9677019315350675e-06,-5.237517661189689e-07,2.997457824080684e-06,0.0
0>>1327,RAW_XQUNEING_2,Group,COMMAND,0.001,675,1.5379487184209034e-05,1.297161303314521e-06,-1.5528387427364392e-06,4.266412795492507e-07,2.262856818116836e-06,0.0
0>>1327,RAW_XQUNEING_2,Group,COMMAND,0.001,683,2.9613881599222826e-06,-1.703987175753069e-06,-1.7054884110870305e-07,1.2469736793705236e-07,1.5334717531841112e-06,0.0
0>>1327,RAW_XQUNEING_2,Group,COMMAND,0.001,691,-8.232936917059938e-06,-1.6039081996137988e-06,1.0180581746545292e-06,2.957170672682305e-07,1.7302236656217482e-06,0.0
0>>1327,RAW_XQUNEING_2,Group,COMMAND,0.001,699,-7.614672100112949e-06,1.4840008976985293e-07,5.262155715183604e-06,4.992139624588037e-07,2.3471019431936697e-06,0.0
0>>1327,RAW_XQUNEING_2,Group,COMMAND,0.001,709,-1.7216366627464952e-05,-1.2535583697101654e-06,1.9001552034164084e-06,-4.4352921178434854e-07,3.251740883936788e-06,0.0
0>>1327,RAW_XQUNEING_2,Group,COMMAND,0.001,717,-1.3190422495576448e-06,2.085810013406343e-06,9.352551073003867e-07,-1.3697457912646618e-07,3.990832287986714e-06,0.0
0>>1327,RAW_XQUNEING_2,Group,COMMAND,0.001,725,1.467547932720685e-05,1.799986886226305e-06,-1.1588681596372968e-06,-7.386511848949794e-08,3.4709881173016236e-06,0.0
0>>1327,RAW_XQUNEING_2,Group,COMMAND,0.001,737,8.811487377800072e-06,-6.631954690007168e-07,-4.00873480460931e-06,-2.7799510446174704e-07,2.6139717505878172e-06,0.0
0>>1327,RAW_XQUNEING_2,Group,COMMAND,0.001,743,1.0862117012701983e-05,2.932779089839712e-07,-2.7814701530513505e-06,1.1599297640007417e-07,1.8882499499135426e-06,0.0
0>>1327,RAW_XQUNEING_2,Group,COMMAND,0.001,753,2.427319111875971e-06,-1.5266785705295312e-06,-4.720729831131018e-06,-3.3610132664746266e-07,1.8891202913643617e-06,0.0
0>>1327,RAW_XQUNEING_2,Group,COMMAND,0.001,761,-8.207375316914359e-06,-1.3805948931414113e-06,-1.928925455479827e-06,3.185644431217107e-07,2.097519838224174e-06,0.0
0>>1327,RAW_XQUNEING_2,Group,COMMAND,0.001,769,-9.412706759371389e-06,-8.642846814209577e-08,-1.485567456647064e-06,2.6152007507251537e-08,2.7747907836253604e-06,0.0
0>>1327,RAW_XQUNEING_2,Group,COMMAND,0.001,777,-2.003209788564546e-05,-1.318916688998516e-06,2.4166566848799614e-07,1.6103693405893418e-07,3.852084814239551e-06,0.0
0>>1327,RAW_XQUNEING_2,Group,COMMAND,0.001,787,-9.89043503129769e-08,2.1913853886103946e-06,2.2338617925929394e-06,3.041048925807484e-07,4.7465995084623215e-06,0.0
