matrix,mode,singular_value,energy_fraction,cumulative_energy_fraction
bump_152x152,76,2.346808135914467e-15,8.230304008911998e-34,0.9999999999999999
bump_152x152,77,2.267234973132337e-15,7.681636838223797e-34,0.9999999999999999
bump_152x152,78,2.1794074543950747e-15,7.098025758920654e-34,0.9999999999999999
bump_152x152,79,2.0932001625565824e-15,6.547601305804533e-34,0.9999999999999999
bump_152x152,80,2.044036438703933e-15,6.243641725757071e-34,0.9999999999999999
bump_152x152,81,2.021838685072444e-15,6.108769113264731e-34,0.9999999999999999
bump_152x152,82,1.9985356322200454e-15,5.968765250820321e-34,0.9999999999999999
bump_152x152,83,1.97185480369112e-15,5.810460760134458e-34,0.9999999999999999
bump_152x152,84,1.7935605070445218e-15,4.807206431457266e-34,0.9999999999999999
bump_152x152,85,1.7840033374269116e-15,4.756111550261558e-34,0.9999999999999999
bump_152x152,86,1.7404163123090452e-15,4.526546616621235e-34,0.9999999999999999
bump_152x152,87,1.6839186917160576e-15,4.237433956172528e-34,0.9999999999999999
bump_152x152,88,1.6702225937881833e-15,4.168784213772188e-34,0.9999999999999999
bump_152x152,89,1.6000469164664469e-15,3.8258341677921413e-34,0.9999999999999999
bump_152x152,90,1.540466294946095e-15,3.5462153719939723e-34,0.9999999999999999
bump_152x152,91,1.5289629208852025e-15,3.493450660020731e-34,0.9999999999999999
bump_152x152,92,1.5173656434528736e-15,3.4406555746669484e-34,0.9999999999999999
bump_152x152,93,1.4382019876715025e-15,3.091010471400473e-34,0.9999999999999999
bump_152x152,94,1.3914510579281773e-15,2.8933207235206627e-34,0.9999999999999999
bump_152x152,95,1.349284044046228e-15,2.720617431508224e-34,0.9999999999999999
bump_152x152,96,1.322528076106138e-15,2.6137888923639653e-34,0.9999999999999999
bump_152x152,97,1.2564637252636807e-15,2.359177494960284e-34,0.9999999999999999
bump_152x152,98,1.245903511769091e-15,2.3196877389247583e-34,0.9999999999999999
bump_152x152,99,1.2071976935031926e-15,2.177797530693333e-34,0.9999999999999999
bump_152x152,100,1.149772695195495e-15,1.975534819431477e-34,0.9999999999999999
bump_152x152,101,1.111449581630494e-15,1.8460363162782678e-34,0.9999999999999999
bump_152x152,102,1.041817393403949e-15,1.6219740986794065e-34,0.9999999999999999
bump_152x152,103,1.038198099554256e-15,1.6107241349650273e-34,0.9999999999999999
bump_152x152,104,1.0069333433596018e-15,1.515172751549884e-34,0.9999999999999999
bump_152x152,105,9.888894126703051e-16,1.4613564525827346e-34,0.9999999999999999
bump_152x152,106,9.628138413736134e-16,1.3853048577974674e-34,0.9999999999999999
bump_152x152,107,9.175974041353071e-16,1.2582445548213833e-34,0.9999999999999999
bump_152x152,108,8.717145379648203e-16,1.1355579051982598e-34,0.9999999999999999
bump_152x152,109,8.374704833487089e-16,1.0480927711142415e-34,0.9999999999999999
bump_152x152,110,8.053305167158961e-16,9.691902123851463e-35,0.9999999999999999
bump_152x152,111,7.769154231840827e-16,9.020034386735623e-35,0.9999999999999999
bump_152x152,112,7.601153754806868e-16,8.634153034424969e-35,0.9999999999999999
bump_152x152,113,7.377870257349051e-16,8.134347742354602e-35,0.9999999999999999
bump_152x152,114,7.153890709877536e-16,7.647954743066652e-35,0.9999999999999999
bump_152x152,115,6.552367002118815e-16,6.415893349544936e-35,0.9999999999999999
bump_152x152,116,6.399549803667674e-16,6.120114587550966e-35,0.9999999999999999
bump_152x152,117,6.137852641253198e-16,5.629808497743895e-35,0.9999999999999999
bump_152x152,118,5.977406886388996e-16,5.339324869963703e-35,0.9999999999999999
bump_152x152,119,5.784654664501837e-16,5.000524756015449e-35,0.9999999999999999
bump_152x152,120,5.625416896412648e-16,4.7290089247572756e-35,0.9999999999999999
bump_152x152,121,5.461915653683756e-16,4.4581090284255316e-35,0.9999999999999999
bump_152x152,122,5.190124780521111e-16,4.0254673226327297e-35,0.9999999999999999
bump_152x152,123,4.856707263384575e-16,3.524881826548049e-35,0.9999999999999999
bump_152x152,124,4.633683741736448e-16,3.208584528440074e-35,0.9999999999999999
bump_152x152,125,4.417757733051524e-16,2.916516908381621e-35,0.9999999999999999
bump_152x152,126,4.335567813231056e-16,2.809006046245111e-35,0.9999999999999999
bump_152x152,127,4.1544385755752556e-16,2.5792022052286426e-35,0.9999999999999999
bump_152x152,128,3.9473158430683593e-16,2.3284368425899075e-35,0.9999999999999999
bump_152x152,129,3.7502317970771135e-16,2.1017300347193539e-35,0.9999999999999999
bump_152x152,130,3.6220531095733924e-16,1.9605157476553032e-35,0.9999999999999999
bump_152x152,131,3.4941418583448214e-16,1.8244911993087025e-35,0.9999999999999999
bump_152x152,132,3.2638934283955816e-16,1.5919618161201927e-35,0.9999999999999999
bump_152x152,133,3.1424378285361475e-16,1.4756864698212355e-35,0.9999999999999999
bump_152x152,134,2.888179846279414e-16,1.2465484796496292e-35,0.9999999999999999
