lambda2,rho,trial,active_rms_rad,max_closure_norm,y_even_rmse_m,y_odd_nl_rmse_m,y_odd_over_rho3_rmse_m
0,2.2599999999999998,24,1.13e-05,6.6478229382873938e-14,5.2725991859494e-10,3.852609625781808e-09,3.3375646579258685e-10
0,0.40000000000000002,25,2.0000000000000003e-06,2.0015197661341871e-14,3.5392468165073137e-10,2.7272435201365685e-10,4.2613180002133875e-09
0,0.56999999999999995,25,2.8499999999999998e-06,8.8710088920734775e-14,7.1869031964732214e-10,7.8917074443456238e-10,4.2613421913061646e-09
0,0.80000000000000004,25,4.0000000000000007e-06,9.2018135008697207e-14,1.4157127812914145e-09,2.1818231075736334e-09,4.2613732569797516e-09
0,1.1299999999999999,25,5.6500000000000001e-06,8.7596432151895835e-14,2.824606500837663e-09,6.1488282037746708e-09,4.2614463844437081e-09
0,1.6000000000000001,25,8.0000000000000013e-06,7.0013224859097353e-14,5.6631372535685629e-09,1.7455404616150886e-08,4.2615733926149613e-09
0,2.2599999999999998,25,1.13e-05,5.3094991567494975e-14,1.1299583369812841e-08,4.9195217872196871e-08,4.26184421620158e-09
0,0.40000000000000002,26,2.0000000000000003e-06,5.2652690543723474e-14,1.5091870801884647e-10,4.6128364033584508e-11,7.2075568802475777e-10
0,0.56999999999999995,26,2.8499999999999998e-06,5.5763438213400544e-14,3.0645894680528736e-10,1.3347798313125551e-10,7.2075069322952558e-10
0,0.80000000000000004,26,4.0000000000000007e-06,9.3556238385383673e-14,6.0367279553753545e-10,3.6902266796740371e-10,7.2074739837383521e-10
0,1.1299999999999999,26,5.6500000000000001e-06,3.1391663780977158e-14,1.2044186027489309e-09,1.0399619914723444e-09,7.2074582695254394e-10
0,1.6000000000000001,26,8.0000000000000013e-06,2.5802091089440422e-14,2.4146720935389503e-09,2.9521479962688668e-09,7.2073925690157865e-10
0,2.2599999999999998,26,1.13e-05,3.8763363157319536e-14,4.8175952362385234e-09,8.3194705414385038e-09,7.2072630110105806e-10
0,0.40000000000000002,27,2.0000000000000003e-06,9.8302421217641405e-14,9.1190050356195023e-11,7.3655927612814348e-12,1.1508738689502239e-10
0,0.56999999999999995,27,2.8499999999999998e-06,3.2130561974065798e-14,1.8517241911869569e-10,2.1314059345704892e-11,1.150910636239215e-10
0,0.80000000000000004,27,4.0000000000000007e-06,8.4612801165299075e-14,3.6475924847338613e-10,5.8926169585572803e-11,1.1509017497182185e-10
0,1.1299999999999999,27,5.6500000000000001e-06,7.3200464709818139e-14,7.2775230435900226e-10,1.6606374052313146e-10,1.1509050231799743e-10
0,1.6000000000000001,27,8.0000000000000013e-06,9.095167500219821e-14,1.4590414536709821e-09,4.7141109977025365e-10,1.1509060052984706e-10
0,2.2599999999999998,27,1.13e-05,3.8736111455842246e-14,2.9110252400655585e-09,1.3285067132243763e-09,1.1509022414839528e-10
0,0.40000000000000002,28,2.0000000000000003e-06,4.4099001054842367e-14,3.1055739056112631e-10,1.3103481895348725e-09,2.0474190461482379e-08
0,0.56999999999999995,28,2.8499999999999998e-06,8.3736953604737442e-14,6.3063079395437634e-10,3.7917469622775074e-09,2.0474569569462713e-08
0,0.80000000000000004,28,4.0000000000000007e-06,1.7368164348078644e-14,1.2422576300131367e-09,1.0483317511094321e-08,2.0475229513856091e-08
