lambda2,trial,detector,c3_y_m,c5_y_m
0,2,DET_07W,-1.3428714822368581e-10,-1.1392107563241982e-14
0,2,DET_08W,-1.8305316788902506e-11,-5.934791321666606e-15
0,2,DET_09W,7.2576912701836872e-11,-4.5029131657245568e-15
0,2,DET_10W,1.186913809704492e-10,4.4992706971939678e-16
0,2,DET_11W,2.5804202841108237e-10,5.3872832309335913e-15
0,2,DET_12W,2.0261031830872756e-10,6.1857968164238579e-15
0,2,DET_13W,3.3728936781181551e-10,1.2796912656858374e-14
0,2,DET_14W,1.6676418307209504e-10,7.1112963835662312e-15
0,2,DET_15W,1.9325445628979773e-10,9.9161543854920039e-15
0,2,DET_16W,-2.7984280157916943e-11,1.5025103084380201e-15
0,2,DET_17W,-2.1850936230229707e-10,-3.9897880804053515e-15
0,2,DET_18W,-2.0249787489816344e-10,-5.1886777789818623e-15
0,2,DET_19W,-3.0210693860866931e-10,-8.9294240723893294e-15
0,2,DET_20W,7.1819932317655324e-11,-4.4866804095818586e-17
0,2,DET_21W,4.2423568669485604e-10,7.2313073949157907e-15
