girder,parameter,step,observation_index,dx,dpx,dy,dpy,dz,dpz
GIRDER_5AB,x_pitch,1e-06,78,-7.674586740792282,-3.354309912234164,0.0,0.0,0.17559850770004762,0.0
GIRDER_5AB,x_pitch,1e-06,80,-8.15616009941657,1.8417585645130614,0.0,0.0,0.17559850770061503,0.0
GIRDER_5AB,x_pitch,1e-06,81,-8.15616009941657,1.8417585645130614,0.0,0.0,0.17559850770061503,0.0
GIRDER_5AB,x_pitch,1e-06,1177,21.33932907608787,-0.17536864062453497,2.5701393547403484e-16,3.560650866472284e-16,-0.22728038998574043,-0.00240736819083595
GIRDER_5AB,y_pitch,1e-06,61,0.0,0.0,0.0,0.0,0.0,0.0
GIRDER_5AB,y_pitch,1e-06,62,0.0,0.0,-4.2351647362715017e-16,0.0,0.0,0.0
GIRDER_5AB,y_pitch,1e-06,64,0.0,0.0,-4.2351647362715017e-16,0.0,0.0,0.0
GIRDER_5AB,y_pitch,1e-06,66,0.0,0.0,0.23983947144027673,1.1828591924200098,0.0,0.0
GIRDER_5AB,y_pitch,1e-06,68,0.0,0.0,0.2575823593265893,1.1828591924200098,0.0,0.0
GIRDER_5AB,y_pitch,1e-06,70,0.0,0.0,0.5266828256023294,1.1828591924200096,0.0,0.0
GIRDER_5AB,y_pitch,1e-06,72,0.0,0.0,1.6648306406625648,-0.48811116926152703,0.0,0.0
GIRDER_5AB,y_pitch,1e-06,74,0.0,0.0,1.468487922827092,-0.48811116926152653,0.0,0.0
