case,target,target_index,x_rmse_um,y_rmse_um,rmse_2d_um,median_2d_um,p90_2d_um,p99_2d_um,max_2d_um
bpm_gain,SEX_24E,61,6.5055874572102,8.920094220051428,11.040414351735429,9.36370039739025,15.260138921542733,17.38024812904417,17.615815818766553
bpm_gain,SEX_23E,62,4.30842634553403,3.249300612547131,5.396340616157479,3.5482529367288254,7.974567046645201,9.003761999738632,9.118116994526792
bpm_gain,SEX_22E,63,4.65480355246289,2.6189246565984967,5.340970180497237,4.113200153378488,7.605085125450097,8.401057864345782,8.489499279778638
bpm_gain,SEX_21E,64,3.8253711536132413,8.001321732824138,8.868743650318242,6.454866663757174,12.891884143891406,14.049316976985367,14.17792062510692
bpm_gain,SEX_20E,65,6.448809898474952,2.291966587188928,6.843994443558453,6.495267951359539,8.99744680240409,9.445409947888695,9.495183630720318
bpm_gain,SEX_19E,66,1.4166253301426883,0.42639711612446846,1.4794059032737243,1.2606093611459015,2.018153547568298,2.2971760387471063,2.3281785377669744
bpm_gain,SEX_18E,67,4.421247523361038,2.5973171706563085,5.127717440324907,5.284226256287409,6.604509426660191,6.805013531997121,6.827291765923446
bpm_gain,SEX_17E,68,5.560037599783446,2.666808531100602,6.166513265416415,6.67378474799785,7.58660964669203,7.8498006210801385,7.879044062678817
bpm_gain,SEX_16E,69,2.707438237202437,5.666712222535257,6.280274613525774,4.631608775213637,8.432186044987684,9.768889281853278,9.917411863727235
bpm_gain,SEX_15E,70,1.5671786569021358,0.656828588747078,1.6992565249676284,1.6483693723493997,2.2910781338435218,2.3844244904763663,2.3947963078800156
bpm_gain,SEX_14E,71,1.3096070747993824,3.8759917471777183,4.091256862451241,2.897657373537,5.860895738642804,6.942329909375051,7.062489261678635
bpm_gain,SEX_13E,72,3.878562483556204,8.260923796829525,9.126122337327832,6.238691966921095,13.259912674711286,15.32250993019507,15.551687403026603
bpm_gain,SEX_12E,73,3.0532501538566352,8.841704361735756,9.35404043835404,5.532295085140018,13.86504842252624,16.152811658572688,16.40700757368896
bpm_gain,SEX_11E,74,1.3951854172156661,4.302194671567434,4.522767000462712,3.9912021768523807,6.353128323772983,6.668889405093059,6.703973969684179
bpm_gain,SEX_10AE,75,0.7621331079003345,1.5554366247978986,1.7321171923171081,1.5155640628182807,2.2545863382776594,2.4081209523533964,2.4251803539173675
bpm_gain,SEX_09AE,76,1.093641159132674,2.1553305982502966,2.4169197282291033,2.431326702874328,2.9773174227030035,3.120775137808556,3.1367148839313956
corrector_gain,SEX_09AW,1,2.930734302162983,3.5126833275114393,4.574729249830156,4.6892806976885835,5.438625187387429,5.641834125548686,5.664412896455493
corrector_gain,SEX_10W,2,3.244133377286473,4.139726972686248,5.259443010244543,4.895871429227171,6.977475383349458,7.4776019667543405,7.533171587132661
corrector_gain,SEX_10AW,3,1.6203279508453485,2.1358364890461914,2.6809065959544074,1.1333284959565055,3.9763640834731246,4.979372094831016,5.090817429426338
corrector_gain,SEX_12W,4,1.574302280868551,1.3734846174531816,2.089231357683594,2.2214048262940227,2.3522457996617834,2.3885123119461538,2.392541924422195
corrector_gain,SEX_13W,5,4.302739335532324,7.018128693243271,8.232113710612946,9.075568100600858,9.61900312642411,9.700761823532744,9.70984612321148
corrector_gain,SEX_14W,6,1.6445056181087556,3.505206864997872,3.871804991786062,3.888793916509385,4.934559901884257,4.985496158833756,4.991155742939256
corrector_gain,SEX_15W,7,1.7403909983180188,1.2737019925097903,2.1566820796653823,1.782178371329436,3.0751612169776323,3.3448978158552305,3.374868549063853
corrector_gain,SEX_16W,8,3.166815099001361,5.484164490063981,6.332833333140998,5.419801830332304,8.118718420540695,8.83912801963017,8.919173530640112
corrector_gain,SEX_17W,9,4.638991719750765,7.9275425809752,9.185106180610601,6.94541441764969,13.307916101128146,14.265174725806192,14.371536795214865
corrector_gain,SEX_18W,10,11.27338162188343,13.821584964498507,17.836068628581533,16.860973566493165,21.786065921808422,23.520642873256662,23.713373645639802
corrector_gain,SEX_19W,11,2.0877617222422624,1.4642228760552232,2.550038752572872,1.732872468282919,3.7844473916480306,4.198711116055889,4.244740418767874
corrector_gain,SEX_20W,12,4.431760511825272,5.811631699689101,7.308595230754335,7.162177178071937,8.774488534673399,9.25599715181,9.309498109269622
corrector_gain,SEX_21W,13,6.106273241113145,4.1304784917971356,7.372070636282128,8.004658383967907,8.855353851699784,8.978919306658891,8.992648801654349
corrector_gain,SEX_22W,14,4.23908293983536,2.9635358843854056,5.1722692417200395,5.281328436152431,6.268439365704681,6.4896134775687715,6.514188378887004
corrector_gain,SEX_23W,15,4.194764634616376,1.0408983227755024,4.321980987716756,2.9155277515742855,6.390747192556631,7.305125088388349,7.406722632369653
corrector_gain,SEX_24W,16,8.937337981414613,5.465237828793639,10.475916891581056,9.628065116754614,13.88221295730535,15.404913685578041,15.574102655386119
corrector_gain,SEX_25W,17,2.736818314114811,2.7327153881233754,3.8675454589391096,3.1521789048467523,5.335588609567929,5.9093761252047985,5.973130293608896
corrector_gain,SEX_26W,18,1.937415020333259,1.9621884150894056,2.757491674932854,2.9971930576287154,3.24535955388316,3.3092111028425175,3.3163057193935574
corrector_gain,SEX_27W,19,2.1772078816205984,1.5415322009735672,2.667687329210315,2.329037295913273,3.619821474250831,3.786547766556207,3.8050729101456935
corrector_gain,SEX_28W,20,4.486064750572878,6.350167882244736,7.774921805331877,8.171803749977592,9.291032487420933,9.665262473902128,9.706843583511152
corrector_gain,SEX_29W,21,2.0670035202026336,3.240956516236067,3.8439956676176292,1.997872129720588,5.5576427269726105,6.899367807037327,7.0484483714889645
corrector_gain,SEX_30W,22,2.0297740932479233,0.6554458521096477,2.1329772935191254,1.8346931483432714,2.8341226229756895,3.1985126846715195,3.23900046930439
corrector_gain,SEX_31W,23,1.8899399622624324,1.0413079766681632,2.157821902574276,2.0286038889318396,2.9135731784720895,3.1200404321378405,3.142981238100702
corrector_gain,SEX_32W,24,3.823402365000226,2.051682267255146,4.339101954374722,3.6897017286462415,5.95239004160554,6.804671654646868,6.899369611651461
corrector_gain,SEX_33W,25,1.9652371260894417,5.433231433783194,5.7777297249707065,5.496993260377243,7.847083891698723,8.119576403165725,8.149853348884282
corrector_gain,SEX_34W,26,2.7502991136343677,2.7593735231677625,3.8959321676355274,3.1741178528915714,5.522143065601412,5.654456687028288,5.6691582005201635
corrector_gain,SEX_35W,27,1.0836888923107446,1.1443100911598754,1.5760162435863445,1.2598080269034082,2.1485865972731477,2.3885982514296478,2.4152662130025924
corrector_gain,SEX_36W,28,1.6060554235453555,2.178249104428657,2.706322816007672,1.925778264218779,3.787116809009704,4.39179921460343,4.458986148558289
corrector_gain,SEX_37W,29,2.2835463444206607,1.189692871269175,2.5748695180660435,1.9263983788677135,3.5266916122167666,4.127871205888539,4.194668938518737
corrector_gain,SEX_38W,30,3.0950999221230973,1.426341248804821,3.407945552083909,3.111471686163937,4.209205499452128,4.566438464745642,4.606131016444921
corrector_gain,SEX_39W,31,3.9518727324931704,4.653957017719569,6.105457723758659,6.5083738170031715,7.764604590347047,7.829539283080873,7.836754248940187
corrector_gain,SEX_40W,32,5.862790236090177,5.276679145441124,7.887689912536342,6.9009650823906945,10.764883257938713,11.192879902799678,11.240435085562009
corrector_gain,SEX_41W,33,2.333428111107771,1.6029264769780085,2.8309468451924547,2.9228076937229854,3.1851063939326956,3.208366691824566,3.210951169368107
corrector_gain,SEX_42W,34,5.025812114429751,3.8067404013527044,6.304764856268614,5.246068159816054,7.9621377388836,8.900513432753673,9.004777398739238
corrector_gain,SEX_43W,35,4.043359276418773,2.1776567932967357,4.592487707941435,3.2186351481238633,6.513315583062625,7.731258498874199,7.866585489519931
corrector_gain,SEX_44W,36,6.674195828885986,3.4678936078073237,7.5213812586113455,7.044115373214355,9.807172627122482,10.370498314817599,10.433090057894836
